id,name,winningbid,metersread
335,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",899 Hours
336,1972 Cat D7F Crawler Dozer (Inoperable),"US $5,100",NONE
337,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
338,2013 Cat 246C Two-Speed Skid Steer Loader,"US $29,000",655 Hours
339,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
340,2011 Cat 299C Two-Speed High Flow XPS Compact Track Loader,"US $23,000","3,893 Hours"
341,2000 Cat 966G Wheel Loader,"US $51,000","22,766 Hours"
342,2018 Cat CB1.8 Double Drum Roller,"US $28,000",236 Hours
343,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
344,1998 Cat 950G Wheel Loader,"US $70,000","14,889 Hours"
345,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $50,000",998 Hours
346,2007 Cat D6N LGP Crawler Dozer,"US $51,000","10,663 Hours"
347,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
348,2006 Cat D6N LGP Crawler Dozer,"US $65,000","9,877 Hours"
349,1978 Cat 12G Motor Grader,"US $27,000","9,694 Hours"
350,2012 Cat 289C2 Two-Speed High Flow XPS Compact Track Loader,"US $20,000","6,794 Hours"
351,1996 Cat CP-563C Padfoot Drum Compactor,"US $54,500","8,612 Hours"
352,1999 Cat 140H VHP Motor Grader,"US $69,000","29,396 Hours"
353,2006 Cat CS-323C Smooth Drum Compactor,"US $26,500","1,309 Hours"
354,2003 Cat 725 Articulated Dump Truck,"US $82,000","14,591 Hours"
355,1997 Cat CS-563C Smooth Drum Compactor,"US $59,500","6,553 Hours"
356,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $46,000","1,568 Hours"
357,2021 Cat 299D3 Two-Speed High Flow XPS Compact Track Loader,"US $63,000","1,450 Hours"
358,1996 Cat 120 Motor Grader,"US $47,000",195 Hours
359,2000 Cat CS-323C Smooth Drum Compactor,"US $22,500","4,815 Hours"
360,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
361,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
362,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
363,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
364,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
365,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
